miner,epoch,param.penalty,param.gasreward,param.wincount,block_reward,total_reward,penalty,reward_payable
t01000,101,0,0,2,10984147765564615572,10984147765564615572,0,10984147765564615572
t01002,101,0,0,2,10984147765564615572,10984147765564615572,0,10984147765564615572
t01001,102,0,882991,2,10984146760448320733,10984146760449203724,0,10984146760449203724
t01002,102,0,0,3,16476220140672481100,16476220140672481100,0,16476220140672481100
t01000,102,0,0,1,5492073380224160366,5492073380224160366,0,5492073380224160366
t01001,103,0,3134219,3,16476218632998176824,16476218633001311043,0,16476218633001311043
t01000,103,0,0,2,10984145755332117883,10984145755332117883,0,10984145755332117883
t01001,104,0,14159017,2,10984144750216007022,10984144750230166039,0,10984144750230166039
t01000,104,0,0,4,21968289500432014044,21968289500432014044,0,21968289500432014044
t01002,104,0,0,2,10984144750216007022,10984144750216007022,0,10984144750216007022
t01001,105,0,16595245,2,10984143745099988149,10984143745116583394,0,10984143745116583394
t01000,105,0,0,1,5492071872549994074,5492071872549994074,0,5492071872549994074
t01000,106,0,0,1,5492071369992030633,5492071369992030633,0,5492071369992030633
t01002,107,0,5385447,1,5492070867434113185,5492070867439498632,0,5492070867439498632
t01001,107,0,0,4,21968283469736452743,21968283469736452743,0,21968283469736452743
t01000,107,0,0,4,21968283469736452743,21968283469736452743,0,21968283469736452743
t01001,108,0,0,4,21968281459504966932,21968281459504966932,0,21968281459504966932
t01000,108,0,0,1,5492070364876241733,5492070364876241733,0,5492070364876241733
t01002,108,0,0,1,5492070364876241733,5492070364876241733,0,5492070364876241733
t01002,109,0,0,3,16476209586955248824,16476209586955248824,0,16476209586955248824
t01000,109,0,0,3,16476209586955248824,16476209586955248824,0,16476209586955248824
t01001,109,0,0,2,10984139724636832549,10984139724636832549,0,10984139724636832549
t01002,110,0,0,1,5492069359760636811,5492069359760636811,0,5492069359760636811
t01001,110,0,0,2,10984138719521273622,10984138719521273622,0,10984138719521273622
t01000,110,0,0,1,5492069359760636811,5492069359760636811,0,5492069359760636811
t01001,111,0,0,2,10984137714405806683,10984137714405806683,0,10984137714405806683
t01000,111,0,0,3,16476206571608710024,16476206571608710024,0,16476206571608710024
t01002,111,0,0,2,10984137714405806683,10984137714405806683,0,10984137714405806683
t01001,112,0,0,2,10984136709290431733,10984136709290431733,0,10984136709290431733
t01002,112,0,0,2,10984136709290431733,10984136709290431733,0,10984136709290431733
t01001,113,0,33854490,1,5492067852087574386,5492067852121428876,0,5492067852121428876
t01000,113,0,0,1,5492067852087574386,5492067852087574386,0,5492067852087574386
t01002,113,0,0,2,10984135704175148772,10984135704175148772,0,10984135704175148772
t01002,114,0,15721008,2,10984134699059957800,10984134699075678808,0,10984134699075678808
t01001,114,0,0,1,5492067349529978900,5492067349529978900,0,5492067349529978900
t01001,115,0,0,1,5492066846972429408,5492066846972429408,0,5492066846972429408
t01000,115,0,0,2,10984133693944858817,10984133693944858817,0,10984133693944858817
t01002,115,0,0,1,5492066846972429408,5492066846972429408,0,5492066846972429408
t01002,116,0,14892017,2,10984132688829851823,10984132688844743840,0,10984132688844743840
t01000,116,0,0,1,5492066344414925911,5492066344414925911,0,5492066344414925911
t01000,117,0,0,1,5492065841857468409,5492065841857468409,0,5492065841857468409
t01001,117,0,0,2,10984131683714936818,10984131683714936818,0,10984131683714936818
t01002,117,0,0,3,16476197525572405227,16476197525572405227,0,16476197525572405227
t01000,118,0,20311464,2,10984130678600113801,10984130678620425265,0,10984130678620425265
t01002,118,0,0,3,16476196017900170701,16476196017900170701,0,16476196017900170701
t01001,119,0,4900201,2,10984129673485382773,10984129673490282974,0,10984129673490282974
t01000,119,0,0,2,10984129673485382773,10984129673485382773,0,10984129673485382773
t01002,119,0,0,1,5492064836742691386,5492064836742691386,0,5492064836742691386
t01000,120,0,7636675,2,10984128668370743734,10984128668378380409,0,10984128668378380409
t01001,120,0,0,2,10984128668370743734,10984128668370743734,0,10984128668370743734
t01002,120,0,0,1,5492064334185371867,5492064334185371867,0,5492064334185371867
t01000,121,0,3134219,2,10984127663256196684,10984127663259330903,0,10984127663259330903
t01001,121,0,0,2,10984127663256196684,10984127663256196684,0,10984127663256196684
t01001,122,0,1765982,1,5492063329070870811,5492063329072636793,0,5492063329072636793
t01000,122,0,0,2,10984126658141741623,10984126658141741623,0,10984126658141741623
t01002,122,0,0,2,10984126658141741623,10984126658141741623,0,10984126658141741623
t01001,123,0,34568244,2,10984125653027378551,10984125653061946795,0,10984125653061946795
t01000,123,0,0,3,16476188479541067826,16476188479541067826,0,16476188479541067826
t01002,123,0,0,1,5492062826513689275,5492062826513689275,0,5492062826513689275
t01002,124,0,0,2,10984124647913107467,10984124647913107467,0,10984124647913107467
t01000,124,0,0,1,5492062323956553733,5492062323956553733,0,5492062323956553733
t01001,124,0,0,1,5492062323956553733,5492062323956553733,0,5492062323956553733
t01002,125,0,34141253,1,5492061821399464186,5492061821433605439,0,5492061821433605439
t01001,126,0,853991,2,10984122637684841266,10984122637685695257,0,10984122637685695257
t01000,126,0,0,2,10984122637684841266,10984122637684841266,0,10984122637684841266
t01002,126,0,0,3,16476183956527261900,16476183956527261900,0,16476183956527261900
t01002,127,0,17930245,3,16476182448856269224,16476182448874199469,0,16476182448874199469
t01000,127,0,0,3,16476182448856269224,16476182448856269224,0,16476182448856269224
t01002,128,0,0,1,5492060313728471510,5492060313728471510,0,5492060313728471510
t01001,128,0,37159690,1,5492060313728471510,5492060313765631200,0,5492060313765631200
t01001,129,0,13066817,1,5492059811171565940,5492059811184632757,0,5492059811184632757
t01002,129,0,0,2,10984119622343131881,10984119622343131881,0,10984119622343131881
t01000,129,0,0,1,5492059811171565940,5492059811171565940,0,5492059811171565940
